index	country	country_code	1950-1955	1955-1960	1960-1965	1965-1970	1970-1975	1975-1980	1980-1985	1985-1990	1990-1995	1995-2000	2000-2005	2005-2010	2010-2015	2015-2020	2020-2025	2025-2030	2030-2035	2035-2040	2040-2045	2045-2050	2050-2055	2055-2060	2060-2065	2065-2070	2070-2075	2075-2080	2080-2085	2085-2090	2090-2095	2095-2100	last.observed
144	Qatar	634	6.97	6.97	6.97	6.97	6.765	6.109	5.453	4.4053	3.7402	3.4636	2.9525	2.2103	2.0522	1.9243	1.8259	1.753	1.7023	1.6755	1.6632	1.6657	1.6764	1.6902	1.708	1.7266	1.7437	1.7597	1.774	1.7878	1.7997	1.8137	2013
145	Réunion	638	6.9294	6.5699	6.5632	5.6722	3.875	3.12	2.7765	2.713	2.405	2.3279	2.445	2.3969	2.2435	2.1133	2.0197	1.9503	1.9063	1.8801	1.8653	1.8566	1.8539	1.8529	1.856	1.8576	1.8617	1.866	1.871	1.8739	1.8774	1.8824	2013
146	Romania	642	3.0596	2.735	2.1044	2.8678	2.6541	2.5457	2.2599	2.2244	1.5063	1.338	1.32	1.448	1.48	1.4774	1.534	1.5825	1.6254	1.6618	1.6929	1.7184	1.7406	1.7604	1.7766	1.7918	1.8037	1.8156	1.8249	1.8333	1.8401	1.8471	2013
147	Russian Federation	643	2.85	2.82	2.55	2.02	2.03	1.94	2.04	2.121	1.545	1.247	1.298	1.4389	1.6618	1.5997	1.6563	1.7022	1.7393	1.7693	1.7913	1.8114	1.8285	1.8423	1.8538	1.8636	1.8722	1.8792	1.8851	1.8906	1.8939	1.8978	2013
148	Rwanda	646	8	8.15	8.2	8.2	8.284	8.432	8.375	7.987	6.554	5.9	5.4	4.85	4.05	3.8	3.7143	3.3992	3.1382	2.914	2.7185	2.545	2.3903	2.2532	2.1376	2.04	1.9644	1.906	1.8635	1.8327	1.8146	1.8047	2013
149	Saint Lucia	662	6	6.938	6.794	6.479	5.691	5.2	4.2	3.65	3.15	2.6	2.1	2.04	1.9218	1.8215	1.7487	1.6991	1.6726	1.661	1.6644	1.6757	1.6916	1.7099	1.7256	1.7441	1.7583	1.7745	1.7882	1.8013	1.8133	1.8228	2013
150	Saint Vincent and the Grenadines	670	7.33	7.33	7.02	6.41	5.54	4.42	3.64	3.1	2.85	2.55	2.237	2.132	2.0084	1.901	1.8224	1.7672	1.7328	1.7165	1.7131	1.7181	1.7277	1.7425	1.7552	1.7689	1.7824	1.7942	1.8061	1.817	1.8273	1.835	2013
151	Sao Tome and Principe	678	6.2	6.2	6.3	6.4	6.5155	6.495	6.2372	5.9594	5.6823	5.4106	5.1486	4.9	4.6677	3.7942	3.5283	3.305	3.1077	2.938	2.7913	2.6634	2.5503	2.4466	2.3523	2.2674	2.1919	2.1275	2.0728	2.0267	1.9916	1.9629	2013
152	Saudi Arabia	682	7.175	7.175	7.257	7.257	7.298	7.278	7.015	6.217	5.55	4.5	3.55	3.15	2.85	2.6	2.4	2.2	2	1.9	1.8	1.7766	1.7477	1.736	1.734	1.7403	1.7495	1.761	1.7725	1.7833	1.7956	1.8073	2013
153	Senegal	686	6.5686	6.8329	7.0563	7.242	7.4145	7.4548	7.2454	6.8804	6.3477	5.778	5.3799	5.1495	5.1815	4.6205	4.3034	4.0171	3.7603	3.5374	3.3398	3.1667	3.013	2.8788	2.7523	2.6391	2.5374	2.4445	2.3544	2.2732	2.1999	2.1402	2013
154	Serbia	688	3.22	2.57	2.51	2.43	2.36	2.37	2.32	2.23	1.96	1.9184	1.7084	1.5552	1.5631	1.3756	1.4266	1.4747	1.5217	1.5641	1.6049	1.6386	1.6698	1.6996	1.7229	1.7448	1.7629	1.7795	1.7928	1.8047	1.817	1.8269	2013
155	Seychelles	690	5	5	5.59	5.92	5.3819	4.2696	3.5077	2.9377	2.5734	2.178	2.2	2.3	2.33	2.0846	1.9999	1.9373	1.8938	1.863	1.8459	1.8381	1.8357	1.8376	1.8397	1.8441	1.8479	1.8526	1.8578	1.8629	1.8695	1.8742	2013
156	Sierra Leone	694	5.97	5.97	5.97	5.97	6.0635	6.2544	6.4585	6.6554	6.6196	6.4138	6.0469	5.51	4.7938	4.3694	4.0251	3.7219	3.4546	3.2248	3.0277	2.8651	2.7183	2.5943	2.4799	2.3796	2.2885	2.2088	2.1418	2.0856	2.0407	2.0033	2013
157	Singapore	702	6.61	6.335	5.12	3.645	2.815	1.84	1.694	1.6973	1.7307	1.5705	1.348	1.2571	1.233	1.3063	1.3261	1.3424	1.3582	1.3716	1.3842	1.3963	1.4072	1.416	1.425	1.4346	1.4406	1.4471	1.454	1.459	1.4654	1.4733	2013
